name,length,head,tail,com,fm,audio,readability
losssonic,9,loss,sonic,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losssound,9,loss,sound,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losswerks,9,loss,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
plinthaux,9,plinth,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
ditherhifi,10,dither,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
hifiphonic,10,hifi,phonic,AVAILABLE,UNVERIFIED,UNVERIFIED,2
klangaudio,10,klang,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,2
planarhifi,10,planar,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
prestohifi,10,presto,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
ribbonhifi,10,ribbon,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,2
flacphonic,10,flac,phonic,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessfi,10,lossless,fi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
timbrehifi,10,timbre,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
ribbonaudio,11,ribbon,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,2
losslessarc,11,lossless,arc,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessark,11,lossless,ark,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessaux,11,lossless,aux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessbar,11,lossless,bar,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessbit,11,lossless,bit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessden,11,lossless,den,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessear,11,lossless,ear,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessera,11,lossless,era,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesshub,11,lossless,hub,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesskit,11,lossless,kit,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesslab,11,lossless,lab,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesslux,11,lossless,lux,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessora,11,lossless,ora,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessvox,11,lossless,vox,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessway,11,lossless,way,AVAILABLE,UNVERIFIED,UNVERIFIED,3
plinthaudio,11,plinth,audio,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessaura,12,lossless,aura,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessbyte,12,lossless,byte,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesscast,12,lossless,cast,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesscore,12,lossless,core,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessdeck,12,lossless,deck,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessdesk,12,lossless,desk,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessears,12,lossless,ears,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessform,12,lossless,form,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessgear,12,lossless,gear,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesshaus,12,lossless,haus,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesshifi,12,lossless,hifi,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessline,12,lossless,line,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessloop,12,lossless,loop,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessmode,12,lossless,mode,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessnode,12,lossless,node,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesspath,12,lossless,path,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessport,12,lossless,port,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessroom,12,lossless,room,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesstone,12,lossless,tone,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesswave,12,lossless,wave,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesswerk,12,lossless,werk,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessfield,13,lossless,field,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessforge,13,lossless,forge,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesshouse,13,lossless,house,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessmeter,13,lossless,meter,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesssense,13,lossless,sense,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesssonic,13,lossless,sonic,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesstones,13,lossless,tones,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesswaves,13,lossless,waves,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslesswerks,13,lossless,werks,AVAILABLE,UNVERIFIED,UNVERIFIED,3
losslessworks,13,lossless,works,AVAILABLE,UNVERIFIED,UNVERIFIED,3
